Student_ID,Gender,Age,District,School_Type,Study_Hours_per_Week,Attendance,Parent_Education,Family_Income_BDT,Internet_Access,Private_Tuition,Previous_GPA,SSC_Result,HSC_Result
558,Female,17,Rangpur,Public,26,81,Secondary,10692,No,No,4.35,4.48,4.34
799,Male,17,Dhaka,Public,21,71,Higher Secondary,12887,No,No,4.45,3.77,4.94
978,Female,17,Khulna,Private,10,82,Higher Secondary,27558,No,No,4.1,4.93,3.89
137,Male,17,Barisal,Private,7,87,Graduate,45131,Yes,Yes,3.47,4.21,4.61
576,Female,17,Barisal,Public,15,91,Graduate,20846,No,Yes,4.3,3.91,4.97
545,Male,18,Barisal,Public,13,92,Higher Secondary,38633,No,Yes,3.22,4.98,4.38
333,Female,17,Barisal,Private,14,90,Higher Secondary,56934,Yes,No,3.96,4.48,4.27
918,Female,16,Rangpur,Private,26,64,Graduate,31435,No,Yes,3.41,3.84,4.77
679,Female,16,Rangpur,Public,17,84,Higher Secondary,12062,Yes,No,4.33,3.68,3.99
364,Female,16,Rajshahi,Private,13,67,Primary,50299,No,Yes,4.8,4.12,4.76
964,Male,16,Barisal,Public,5,75,Graduate,33849,No,Yes,4.11,4.31,3.71
11,Male,15,Rangpur,Private,29,71,Secondary,11881,No,Yes,3.21,4.28,4.83
908,Male,15,Dhaka,Public,29,87,Graduate,50005,No,Yes,4.22,4.26,4.11
278,Female,17,Barisal,Private,27,79,Secondary,44782,No,Yes,3.7,4.14,4.55
378,Male,15,Mymensingh,Private,16,84,Primary,56988,Yes,Yes,3.43,3.61,3.17
735,Female,15,Mymensingh,Private,21,74,Primary,50644,No,No,4.37,3.85,4.12
951,Male,18,Barisal,Public,10,89,Primary,31598,No,Yes,4.04,4.62,4.19
142,Male,15,Chattogram,Public,29,85,Higher Secondary,50975,No,Yes,3.44,4.5,4.75
823,Female,18,Khulna,Private,13,68,Secondary,44650,Yes,No,4.77,4.8,4.78
669,Male,17,Dhaka,Private,9,79,Secondary,32403,Yes,Yes,4.04,4.73,3.95
590,Male,18,Rangpur,Private,26,68,Graduate,52742,No,Yes,3.22,3.97,3.45
817,Male,16,Rajshahi,Public,14,70,Secondary,13729,No,Yes,4.5,3.63,4.05
287,Male,16,Sylhet,Private,7,88,Primary,48687,Yes,No,4.4,3.54,3.83
83,Male,15,Khulna,Private,10,75,Higher Secondary,51909,Yes,No,4.91,4.41,4.87
636,Female,17,Barisal,Private,21,97,Higher Secondary,51913,No,Yes,3.71,4.01,3.85
313,Female,15,Rangpur,Public,25,63,Secondary,10935,No,No,3.92,4.03,3.62
798,Male,16,Rajshahi,Private,21,65,Graduate,18876,No,No,4.3,3.62,4.53
469,Male,18,Dhaka,Public,21,92,Primary,37405,No,Yes,4.87,3.93,3.87
698,Female,17,Rajshahi,Public,7,76,Primary,40063,Yes,No,4.49,4.94,3.87
193,Male,15,Chattogram,Public,23,63,Graduate,58920,No,Yes,4.83,4.67,3.8
884,Female,15,Rangpur,Private,17,60,Primary,37773,No,No,4.24,3.71,4.05
866,Male,16,Rangpur,Private,18,71,Primary,32444,No,No,4.37,3.98,3.41
500,Female,17,Rajshahi,Private,17,69,Higher Secondary,27848,Yes,Yes,4.45,4.18,4.12
211,Male,15,Khulna,Public,29,75,Secondary,53169,No,No,3.41,4.3,3.64
332,Male,16,Chattogram,Private,7,64,Primary,42467,Yes,Yes,3.58,4.32,3.63
295,Female,18,Mymensingh,Private,16,78,Primary,53116,No,No,4.74,4.76,4.89
514,Female,15,Mymensingh,Private,5,69,Primary,35488,Yes,Yes,3.47,4.5,3.86
383,Female,17,Chattogram,Public,25,84,Secondary,28542,No,No,3.37,3.75,3.7
925,Male,16,Chattogram,Private,24,72,Graduate,55246,No,No,3.42,4.62,3.53
742,Female,16,Chattogram,Private,15,78,Primary,30425,Yes,Yes,3.19,4.99,3.8
219,Female,15,Mymensingh,Public,7,95,Secondary,52847,Yes,No,3.28,3.58,4.23
653,Male,16,Mymensingh,Private,28,74,Graduate,34604,No,No,3.34,3.58,3.72
360,Male,17,Dhaka,Public,25,75,Secondary,57234,Yes,No,4.48,3.64,4.39
297,Female,17,Dhaka,Private,11,66,Higher Secondary,26755,Yes,Yes,3.0,4.49,4.14
40,Male,17,Rangpur,Public,14,83,Secondary,10016,No,No,4.74,4.89,4.77
210,Male,15,Dhaka,Public,9,76,Higher Secondary,39007,No,Yes,4.56,4.05,4.34
